customer_id,channel,acquisition_date,campaign_id
CUST0000001,REFERRAL,2020-07-10,ACQ_CAMP_30
CUST0000002,PAID_SEARCH,2024-02-07,ACQ_CAMP_24
CUST0000003,REFERRAL,2024-07-18,ACQ_CAMP_10
CUST0000004,PAID_SOCIAL,2024-02-25,ACQ_CAMP_8
CUST0000005,REFERRAL,2020-06-28,ACQ_CAMP_18
CUST0000006,ORGANIC,2024-02-06,
CUST0000007,REFERRAL,2023-12-27,ACQ_CAMP_3
CUST0000008,REFERRAL,2024-12-02,ACQ_CAMP_12
CUST0000009,PAID_SEARCH,2024-03-25,ACQ_CAMP_27
CUST0000010,PAID_SEARCH,2023-06-04,ACQ_CAMP_30
CUST0000011,ORGANIC,2020-04-07,
CUST0000012,ORGANIC,2022-11-28,
CUST0000013,REFERRAL,2021-09-16,ACQ_CAMP_15
CUST0000014,ORGANIC,2023-07-14,
CUST0000015,ORGANIC,2020-12-10,
CUST0000016,ORGANIC,2023-04-15,
CUST0000017,ORGANIC,2024-08-27,
CUST0000018,PAID_SOCIAL,2022-01-03,ACQ_CAMP_15
CUST0000019,ORGANIC,2023-03-13,
CUST0000020,PAID_SEARCH,2020-12-02,ACQ_CAMP_12
CUST0000021,PAID_SOCIAL,2022-04-02,ACQ_CAMP_11
CUST0000022,REFERRAL,2022-01-02,ACQ_CAMP_4
CUST0000023,PAID_SOCIAL,2021-04-16,ACQ_CAMP_8
CUST0000024,ORGANIC,2024-05-31,
CUST0000025,ORGANIC,2023-06-13,
CUST0000026,ORGANIC,2022-04-17,
CUST0000027,REFERRAL,2022-04-07,ACQ_CAMP_25
CUST0000028,PARTNERSHIP,2023-03-08,ACQ_CAMP_22
CUST0000029,PAID_SEARCH,2024-10-26,ACQ_CAMP_11
CUST0000030,ORGANIC,2023-12-28,
CUST0000031,ORGANIC,2021-02-02,
CUST0000032,PAID_SOCIAL,2024-01-07,ACQ_CAMP_26
CUST0000033,REFERRAL,2023-09-01,ACQ_CAMP_18
CUST0000034,PAID_SOCIAL,2021-09-24,ACQ_CAMP_15
CUST0000035,PARTNERSHIP,2020-01-13,ACQ_CAMP_2
CUST0000036,PARTNERSHIP,2024-06-13,ACQ_CAMP_8
CUST0000037,PARTNERSHIP,2020-09-11,ACQ_CAMP_14
CUST0000038,PAID_SOCIAL,2023-09-10,ACQ_CAMP_1
CUST0000039,REFERRAL,2022-06-21,ACQ_CAMP_8
CUST0000040,REFERRAL,2021-12-30,ACQ_CAMP_3
CUST0000041,REFERRAL,2023-05-28,ACQ_CAMP_3
CUST0000042,ORGANIC,2024-01-09,
CUST0000043,REFERRAL,2021-08-30,ACQ_CAMP_23
CUST0000044,REFERRAL,2023-01-27,ACQ_CAMP_8
CUST0000045,PARTNERSHIP,2023-05-05,ACQ_CAMP_14
CUST0000046,ORGANIC,2022-09-27,
CUST0000047,ORGANIC,2021-10-02,
CUST0000048,PAID_SOCIAL,2023-08-19,ACQ_CAMP_26
CUST0000049,PAID_SOCIAL,2021-07-09,ACQ_CAMP_28
CUST0000050,PARTNERSHIP,2021-09-17,ACQ_CAMP_21
CUST0000051,PAID_SEARCH,2024-04-13,ACQ_CAMP_15
CUST0000052,ORGANIC,2022-04-03,
CUST0000053,ORGANIC,2022-09-08,
CUST0000054,ORGANIC,2021-02-10,
CUST0000055,PAID_SOCIAL,2023-09-14,ACQ_CAMP_20
CUST0000056,PARTNERSHIP,2020-06-02,ACQ_CAMP_19
CUST0000057,PAID_SOCIAL,2022-11-09,ACQ_CAMP_6
CUST0000058,PAID_SOCIAL,2020-06-19,ACQ_CAMP_9
CUST0000059,ORGANIC,2022-10-01,
CUST0000060,PARTNERSHIP,2022-09-10,ACQ_CAMP_17
CUST0000061,PAID_SOCIAL,2022-01-08,ACQ_CAMP_12
CUST0000062,ORGANIC,2022-04-27,
CUST0000063,REFERRAL,2022-05-12,ACQ_CAMP_6
CUST0000064,REFERRAL,2024-03-18,ACQ_CAMP_6
CUST0000065,REFERRAL,2021-11-18,ACQ_CAMP_15
CUST0000066,PARTNERSHIP,2020-02-18,ACQ_CAMP_4
CUST0000067,PAID_SOCIAL,2022-10-18,ACQ_CAMP_26
CUST0000068,REFERRAL,2021-05-16,ACQ_CAMP_6
CUST0000069,PAID_SOCIAL,2024-05-04,ACQ_CAMP_2
CUST0000070,PAID_SOCIAL,2023-05-07,ACQ_CAMP_23
CUST0000071,PAID_SOCIAL,2022-10-19,ACQ_CAMP_6
CUST0000072,ORGANIC,2024-05-10,
CUST0000073,REFERRAL,2023-07-27,ACQ_CAMP_13
CUST0000074,PAID_SEARCH,2024-05-16,ACQ_CAMP_15
CUST0000075,REFERRAL,2024-10-16,ACQ_CAMP_18
CUST0000076,PAID_SEARCH,2020-12-20,ACQ_CAMP_30
CUST0000077,ORGANIC,2021-05-17,
CUST0000078,PAID_SEARCH,2021-04-29,ACQ_CAMP_18
CUST0000079,REFERRAL,2020-08-03,ACQ_CAMP_19
CUST0000080,ORGANIC,2021-12-23,
CUST0000081,ORGANIC,2024-03-05,
CUST0000082,REFERRAL,2020-03-14,ACQ_CAMP_6
CUST0000083,REFERRAL,2020-12-15,ACQ_CAMP_24
CUST0000084,REFERRAL,2022-11-29,ACQ_CAMP_27
CUST0000085,PAID_SOCIAL,2022-10-18,ACQ_CAMP_4
CUST0000086,PAID_SEARCH,2020-06-14,ACQ_CAMP_16
CUST0000087,REFERRAL,2022-08-13,ACQ_CAMP_2
CUST0000088,REFERRAL,2024-02-23,ACQ_CAMP_17
CUST0000089,ORGANIC,2020-09-09,
CUST0000090,PAID_SOCIAL,2022-07-27,ACQ_CAMP_11
CUST0000091,PAID_SOCIAL,2022-09-02,ACQ_CAMP_9
CUST0000092,PAID_SOCIAL,2020-03-09,ACQ_CAMP_28
CUST0000093,PAID_SOCIAL,2020-11-19,ACQ_CAMP_25
CUST0000094,PAID_SEARCH,2023-02-03,ACQ_CAMP_7
CUST0000095,REFERRAL,2021-04-10,ACQ_CAMP_29
CUST0000096,ORGANIC,2023-01-13,
CUST0000097,ORGANIC,2023-09-13,
CUST0000098,ORGANIC,2023-03-15,
CUST0000099,REFERRAL,2021-04-21,ACQ_CAMP_5
CUST0000100,PAID_SEARCH,2023-08-28,ACQ_CAMP_20
CUST0000101,REFERRAL,2021-05-14,ACQ_CAMP_25
CUST0000102,REFERRAL,2020-12-07,ACQ_CAMP_18
CUST0000103,ORGANIC,2024-04-17,
CUST0000104,ORGANIC,2021-12-12,
CUST0000105,ORGANIC,2020-06-26,
CUST0000106,ORGANIC,2022-06-08,
CUST0000107,ORGANIC,2022-09-17,
CUST0000108,ORGANIC,2024-07-01,
CUST0000109,PAID_SOCIAL,2024-02-25,ACQ_CAMP_12
CUST0000110,REFERRAL,2022-02-02,ACQ_CAMP_2
CUST0000111,REFERRAL,2021-03-04,ACQ_CAMP_7
CUST0000112,PAID_SOCIAL,2022-01-31,ACQ_CAMP_24
CUST0000113,PARTNERSHIP,2021-08-05,ACQ_CAMP_28
CUST0000114,PAID_SEARCH,2020-10-07,ACQ_CAMP_18
CUST0000115,PAID_SOCIAL,2021-01-26,ACQ_CAMP_28
CUST0000116,PAID_SOCIAL,2024-10-08,ACQ_CAMP_16
CUST0000117,ORGANIC,2023-03-09,
CUST0000118,PAID_SOCIAL,2024-04-30,ACQ_CAMP_8
CUST0000119,PARTNERSHIP,2022-08-31,ACQ_CAMP_8
CUST0000120,PAID_SOCIAL,2021-02-10,ACQ_CAMP_21
CUST0000121,REFERRAL,2022-03-04,ACQ_CAMP_4
CUST0000122,ORGANIC,2022-05-13,
CUST0000123,PAID_SOCIAL,2023-12-20,ACQ_CAMP_17
CUST0000124,PAID_SEARCH,2021-12-08,ACQ_CAMP_9
CUST0000125,ORGANIC,2023-10-07,
CUST0000126,REFERRAL,2023-10-10,ACQ_CAMP_22
CUST0000127,PAID_SOCIAL,2024-04-19,ACQ_CAMP_26
CUST0000128,PARTNERSHIP,2023-05-12,ACQ_CAMP_26
CUST0000129,PAID_SEARCH,2020-11-22,ACQ_CAMP_29
CUST0000130,PAID_SEARCH,2021-11-06,ACQ_CAMP_16
CUST0000131,REFERRAL,2020-10-30,ACQ_CAMP_29
CUST0000132,REFERRAL,2021-02-18,ACQ_CAMP_10
CUST0000133,PARTNERSHIP,2024-06-05,ACQ_CAMP_18
CUST0000134,ORGANIC,2024-03-29,
CUST0000135,REFERRAL,2023-08-31,ACQ_CAMP_15
CUST0000136,REFERRAL,2020-06-01,ACQ_CAMP_7
CUST0000137,PAID_SEARCH,2024-04-25,ACQ_CAMP_29
CUST0000138,ORGANIC,2024-05-17,
CUST0000139,REFERRAL,2021-12-27,ACQ_CAMP_1
CUST0000140,PAID_SOCIAL,2024-01-23,ACQ_CAMP_11
CUST0000141,PAID_SEARCH,2023-03-02,ACQ_CAMP_18
CUST0000142,ORGANIC,2020-11-19,
CUST0000143,ORGANIC,2024-02-04,
CUST0000144,ORGANIC,2021-11-29,
CUST0000145,REFERRAL,2024-06-26,ACQ_CAMP_11
CUST0000146,PAID_SEARCH,2024-07-10,ACQ_CAMP_4
CUST0000147,PAID_SOCIAL,2020-03-24,ACQ_CAMP_4
CUST0000148,ORGANIC,2023-03-04,
CUST0000149,REFERRAL,2024-05-24,ACQ_CAMP_25
CUST0000150,PARTNERSHIP,2021-08-29,ACQ_CAMP_1
CUST0000151,PAID_SOCIAL,2023-06-07,ACQ_CAMP_1
CUST0000152,PAID_SEARCH,2020-04-18,ACQ_CAMP_11
CUST0000153,ORGANIC,2023-12-29,
CUST0000154,ORGANIC,2024-12-05,
CUST0000155,REFERRAL,2024-07-11,ACQ_CAMP_2
CUST0000156,PAID_SEARCH,2022-12-15,ACQ_CAMP_11
CUST0000157,PAID_SEARCH,2022-02-27,ACQ_CAMP_29
CUST0000158,PARTNERSHIP,2022-05-15,ACQ_CAMP_25
