event_id,customer_id,session_id,event_timestamp,event_date,event_type,page_url,product_id,device_type,platform,utm_source,utm_campaign,txn_id
EVT0000000001,CUST0006825,SES0000000001,2025-09-25 19:31:01,2025-09-25,page_view,/page_view,,DESKTOP,WEB,DIRECT,,
EVT0000000002,CUST0006825,SES0000000001,2025-09-25 20:30:01,2025-09-25,product_view,/product/631,SKU000779,MOBILE_APP,WEB,DIRECT,,
EVT0000000003,CUST0006825,SES0000000001,2025-09-25 21:31:01,2025-09-25,page_view,/page_view,,DESKTOP,WEB,PAID_SEARCH,,
EVT0000000004,CUST0006825,SES0000000001,2025-09-25 21:13:01,2025-09-25,product_view,/product/583,SKU000553,MOBILE_APP,IOS,ORGANIC,campaign_9,
EVT0000000005,CUST0006825,SES0000000001,2025-09-25 20:11:01,2025-09-25,checkout,/checkout,,DESKTOP,WEB,ORGANIC,campaign_2,
EVT0000000006,CUST0006825,SES0000000001,2025-09-25 22:21:01,2025-09-25,purchase,/purchase,,DESKTOP,ANDROID,PAID_SEARCH,,TXN0000042750
EVT0000000007,CUST0008790,SES0000000007,2025-09-27 23:57:53,2025-09-27,checkout,/checkout,,DESKTOP,ANDROID,EMAIL,,
EVT0000000008,CUST0008790,SES0000000007,2025-09-28 00:25:53,2025-09-28,purchase,/purchase,,MOBILE_APP,ANDROID,DIRECT,campaign_13,TXN0000044099
EVT0000000009,CUST0008467,SES0000000009,2026-01-11 07:25:45,2026-01-11,add_to_cart,/add_to_cart,SKU000532,MOBILE_APP,WEB,EMAIL,,
EVT0000000010,CUST0008467,SES0000000009,2026-01-11 08:12:45,2026-01-11,product_view,/product/492,SKU000141,MOBILE_WEB,ANDROID,EMAIL,,
EVT0000000011,CUST0008467,SES0000000009,2026-01-11 09:19:45,2026-01-11,page_view,/page_view,,DESKTOP,ANDROID,ORGANIC,campaign_12,
EVT0000000012,CUST0008467,SES0000000009,2026-01-11 07:40:45,2026-01-11,checkout,/checkout,,MOBILE_WEB,IOS,ORGANIC,,
EVT0000000013,CUST0008467,SES0000000009,2026-01-11 09:13:45,2026-01-11,purchase,/purchase,,MOBILE_APP,IOS,PAID_SEARCH,,TXN0000123275
EVT0000000014,CUST0000776,SES0000000014,2025-08-05 22:24:46,2025-08-05,page_view,/page_view,,DESKTOP,IOS,EMAIL,campaign_20,
EVT0000000015,CUST0000776,SES0000000014,2025-08-05 22:53:46,2025-08-05,page_view,/page_view,,DESKTOP,ANDROID,DIRECT,campaign_3,
EVT0000000016,CUST0000776,SES0000000014,2025-08-05 23:18:46,2025-08-05,page_view,/page_view,,DESKTOP,WEB,ORGANIC,,
EVT0000000017,CUST0000776,SES0000000014,2025-08-06 00:06:46,2025-08-06,add_to_cart,/add_to_cart,SKU000056,MOBILE_WEB,ANDROID,PAID_SOCIAL,,
EVT0000000018,CUST0000776,SES0000000014,2025-08-06 00:24:46,2025-08-06,product_view,/product/39,SKU000560,DESKTOP,ANDROID,ORGANIC,campaign_8,
EVT0000000019,CUST0000776,SES0000000014,2025-08-05 23:59:46,2025-08-05,add_to_cart,/add_to_cart,SKU000756,MOBILE_WEB,ANDROID,PAID_SEARCH,,
EVT0000000020,CUST0000776,SES0000000014,2025-08-06 00:30:46,2025-08-06,checkout,/checkout,,MOBILE_WEB,WEB,PAID_SOCIAL,campaign_15,
EVT0000000021,CUST0000776,SES0000000014,2025-08-06 00:02:46,2025-08-06,purchase,/purchase,,MOBILE_WEB,WEB,EMAIL,,TXN0000005647
EVT0000000022,CUST0000859,SES0000000022,2025-12-14 23:18:56,2025-12-14,product_view,/product/107,SKU000858,DESKTOP,IOS,PAID_SEARCH,campaign_17,
EVT0000000023,CUST0000859,SES0000000022,2025-12-15 00:13:56,2025-12-15,page_view,/page_view,,DESKTOP,WEB,DIRECT,campaign_6,
EVT0000000024,CUST0000859,SES0000000022,2025-12-14 23:50:56,2025-12-14,checkout,/checkout,,MOBILE_APP,IOS,REFERRAL,campaign_3,
EVT0000000025,CUST0000859,SES0000000022,2025-12-15 00:42:56,2025-12-15,purchase,/purchase,,MOBILE_APP,WEB,ORGANIC,,TXN0000102064
EVT0000000026,CUST0005663,SES0000000026,2026-01-17 15:29:56,2026-01-17,page_view,/page_view,,DESKTOP,ANDROID,REFERRAL,campaign_11,
EVT0000000027,CUST0005663,SES0000000026,2026-01-17 15:35:56,2026-01-17,checkout,/checkout,,MOBILE_APP,WEB,ORGANIC,,
EVT0000000028,CUST0005663,SES0000000026,2026-01-17 15:43:56,2026-01-17,purchase,/purchase,,DESKTOP,IOS,ORGANIC,campaign_3,TXN0000128769
EVT0000000029,CUST0003108,SES0000000029,2026-01-24 01:32:33,2026-01-24,page_view,/page_view,,DESKTOP,WEB,ORGANIC,campaign_2,
EVT0000000030,CUST0003108,SES0000000029,2026-01-24 01:53:33,2026-01-24,product_view,/product/923,SKU000424,MOBILE_APP,ANDROID,EMAIL,,
EVT0000000031,CUST0003108,SES0000000029,2026-01-24 03:08:33,2026-01-24,product_view,/product/896,SKU000873,DESKTOP,IOS,DIRECT,,
EVT0000000032,CUST0003108,SES0000000029,2026-01-24 03:35:33,2026-01-24,product_view,/product/51,SKU000103,MOBILE_WEB,WEB,REFERRAL,,
EVT0000000033,CUST0003108,SES0000000029,2026-01-24 03:00:33,2026-01-24,add_to_cart,/add_to_cart,SKU000359,MOBILE_WEB,ANDROID,ORGANIC,,
EVT0000000034,CUST0003108,SES0000000029,2026-01-24 06:27:33,2026-01-24,checkout,/checkout,,MOBILE_APP,IOS,PAID_SOCIAL,,
EVT0000000035,CUST0003108,SES0000000029,2026-01-24 02:50:33,2026-01-24,purchase,/purchase,,MOBILE_APP,ANDROID,DIRECT,campaign_11,TXN0000133621
EVT0000000036,CUST0004357,SES0000000036,2025-08-22 19:08:30,2025-08-22,add_to_cart,/add_to_cart,SKU000259,MOBILE_APP,ANDROID,ORGANIC,,
EVT0000000037,CUST0004357,SES0000000036,2025-08-22 20:04:30,2025-08-22,add_to_cart,/add_to_cart,SKU000880,MOBILE_WEB,WEB,DIRECT,campaign_9,
EVT0000000038,CUST0004357,SES0000000036,2025-08-22 20:24:30,2025-08-22,checkout,/checkout,,DESKTOP,WEB,PAID_SEARCH,,
EVT0000000039,CUST0004357,SES0000000036,2025-08-22 19:26:30,2025-08-22,purchase,/purchase,,MOBILE_APP,WEB,DIRECT,,TXN0000017506
