sku_id,product_name,brand,category_l1,category_l2,category_l3,supplier_id,unit_cost,unit_price,is_private_label,is_perishable,shelf_life_days
SKU000001,Unilever Rice & Grains Product 1,Unilever,Grocery,Rice & Grains,Rice & Grains Type A,SUP397,253773.71,291989.69,False,False,337
SKU000002,ABC Rice & Grains Product 2,ABC,Grocery,Rice & Grains,Rice & Grains Type B,SUP114,422052.35,535620.48,False,False,263
SKU000003,MegaMart Own Rice & Grains Product 3,MegaMart Own,Grocery,Rice & Grains,Rice & Grains Type C,SUP433,322519.6,410577.57,True,False,395
SKU000004,Samsung Rice & Grains Product 4,Samsung,Grocery,Rice & Grains,Rice & Grains Type D,SUP421,310963.67,344885.38,False,False,476
SKU000005,Mayora Rice & Grains Product 5,Mayora,Grocery,Rice & Grains,Rice & Grains Type E,SUP450,244057.68,327380.55,False,False,595
SKU000006,Unilever Rice & Grains Product 6,Unilever,Grocery,Rice & Grains,Rice & Grains Type A,SUP312,345863.72,396852.38,False,False,675
SKU000007,ABC Rice & Grains Product 7,ABC,Grocery,Rice & Grains,Rice & Grains Type B,SUP467,305296.83,364455.65,False,False,506
SKU000008,ABC Rice & Grains Product 8,ABC,Grocery,Rice & Grains,Rice & Grains Type C,SUP289,487810.19,555727.93,False,False,707
SKU000009,ABC Rice & Grains Product 9,ABC,Grocery,Rice & Grains,Rice & Grains Type D,SUP330,124660.24,141708.35,False,False,433
SKU000010,MegaMart Own Rice & Grains Product 10,MegaMart Own,Grocery,Rice & Grains,Rice & Grains Type E,SUP415,30049.62,41577.12,True,False,608
SKU000011,Nestle Rice & Grains Product 11,Nestle,Grocery,Rice & Grains,Rice & Grains Type A,SUP469,407671.53,562637.86,False,False,500
SKU000012,Nestle Rice & Grains Product 12,Nestle,Grocery,Rice & Grains,Rice & Grains Type B,SUP355,251641.44,315663.41,False,False,495
SKU000013,Unilever Rice & Grains Product 13,Unilever,Grocery,Rice & Grains,Rice & Grains Type C,SUP223,472890.24,591885.19,False,False,400
SKU000014,Indofood Rice & Grains Product 14,Indofood,Grocery,Rice & Grains,Rice & Grains Type D,SUP434,30017.5,37475.9,False,False,661
SKU000015,Indofood Rice & Grains Product 15,Indofood,Grocery,Rice & Grains,Rice & Grains Type E,SUP235,424350.32,521644.65,False,False,554
SKU000016,ABC Rice & Grains Product 16,ABC,Grocery,Rice & Grains,Rice & Grains Type A,SUP387,27394.99,30554.93,False,False,379
SKU000017,Mayora Rice & Grains Product 17,Mayora,Grocery,Rice & Grains,Rice & Grains Type B,SUP491,41398.22,51800.63,False,False,466
SKU000018,Unilever Rice & Grains Product 18,Unilever,Grocery,Rice & Grains,Rice & Grains Type C,SUP291,68688.38,77549.49,False,False,527
SKU000019,ABC Rice & Grains Product 19,ABC,Grocery,Rice & Grains,Rice & Grains Type D,SUP360,378707.76,439193.97,False,False,591
SKU000020,Indofood Rice & Grains Product 20,Indofood,Grocery,Rice & Grains,Rice & Grains Type E,SUP342,24262.41,31882.69,False,False,711
SKU000021,Local Brand Rice & Grains Product 21,Local Brand,Grocery,Rice & Grains,Rice & Grains Type A,SUP263,74191.59,102340.67,False,False,346
SKU000022,Mayora Rice & Grains Product 22,Mayora,Grocery,Rice & Grains,Rice & Grains Type B,SUP360,298893.7,374273.05,False,False,725
SKU000023,Mayora Rice & Grains Product 23,Mayora,Grocery,Rice & Grains,Rice & Grains Type C,SUP269,240071.84,265277.24,False,False,292
SKU000024,Mayora Rice & Grains Product 24,Mayora,Grocery,Rice & Grains,Rice & Grains Type D,SUP452,399393.63,526239.95,False,False,207
SKU000025,Mayora Rice & Grains Product 25,Mayora,Grocery,Rice & Grains,Rice & Grains Type E,SUP497,483699.99,645677.18,False,False,413
SKU000026,LG Rice & Grains Product 26,LG,Grocery,Rice & Grains,Rice & Grains Type A,SUP417,89403.47,115214.93,False,False,569
SKU000027,MegaMart Own Rice & Grains Product 27,MegaMart Own,Grocery,Rice & Grains,Rice & Grains Type B,SUP458,341959.81,379394.55,True,False,292
SKU000028,LG Rice & Grains Product 28,LG,Grocery,Rice & Grains,Rice & Grains Type C,SUP453,160277.78,183586.88,False,False,388
SKU000029,LG Rice & Grains Product 29,LG,Grocery,Rice & Grains,Rice & Grains Type D,SUP131,437044.77,577227.4,False,False,321
SKU000030,Local Brand Rice & Grains Product 30,Local Brand,Grocery,Rice & Grains,Rice & Grains Type E,SUP369,165899.52,215448.4,False,False,565
SKU000031,Nestle Rice & Grains Product 31,Nestle,Grocery,Rice & Grains,Rice & Grains Type A,SUP379,232533.45,292977.76,False,False,542
SKU000032,Mayora Rice & Grains Product 32,Mayora,Grocery,Rice & Grains,Rice & Grains Type B,SUP226,306987.91,355393.53,False,False,465
SKU000033,Wings Rice & Grains Product 33,Wings,Grocery,Rice & Grains,Rice & Grains Type C,SUP494,471035.35,656942.68,False,False,475
SKU000034,LG Rice & Grains Product 34,LG,Grocery,Rice & Grains,Rice & Grains Type D,SUP469,161935.17,195073.74,False,False,460
SKU000035,Local Brand Rice & Grains Product 35,Local Brand,Grocery,Rice & Grains,Rice & Grains Type E,SUP276,192948.62,268979.67,False,False,329
SKU000036,Mayora Rice & Grains Product 36,Mayora,Grocery,Rice & Grains,Rice & Grains Type A,SUP326,477880.29,536998.3,False,False,442
SKU000037,Wings Rice & Grains Product 37,Wings,Grocery,Rice & Grains,Rice & Grains Type B,SUP387,105023.66,132495.05,False,False,458
SKU000038,MegaMart Own Rice & Grains Product 38,MegaMart Own,Grocery,Rice & Grains,Rice & Grains Type C,SUP224,309760.13,395269.15,True,False,231
SKU000039,Local Brand Rice & Grains Product 39,Local Brand,Grocery,Rice & Grains,Rice & Grains Type D,SUP151,116707.46,136530.34,False,False,603
SKU000040,LG Rice & Grains Product 40,LG,Grocery,Rice & Grains,Rice & Grains Type E,SUP102,54769.73,72911.1,False,False,341
SKU000041,LG Rice & Grains Product 41,LG,Grocery,Rice & Grains,Rice & Grains Type A,SUP247,241337.02,279911.56,False,False,508
SKU000042,Indofood Rice & Grains Product 42,Indofood,Grocery,Rice & Grains,Rice & Grains Type B,SUP393,454428.79,512067.73,False,False,417
SKU000043,Indofood Rice & Grains Product 43,Indofood,Grocery,Rice & Grains,Rice & Grains Type C,SUP190,457048.71,526757.52,False,False,217
SKU000044,Samsung Rice & Grains Product 44,Samsung,Grocery,Rice & Grains,Rice & Grains Type D,SUP483,395040.51,456624.75,False,False,476
SKU000045,Indofood Rice & Grains Product 45,Indofood,Grocery,Rice & Grains,Rice & Grains Type E,SUP271,152704.14,195588.79,False,False,471
SKU000046,Local Brand Rice & Grains Product 46,Local Brand,Grocery,Rice & Grains,Rice & Grains Type A,SUP168,264537.67,361564.26,False,False,696
SKU000047,Wings Rice & Grains Product 47,Wings,Grocery,Rice & Grains,Rice & Grains Type B,SUP474,405362.87,486113.27,False,False,649
SKU000048,Nestle Rice & Grains Product 48,Nestle,Grocery,Rice & Grains,Rice & Grains Type C,SUP251,11971.68,14379.59,False,False,377
SKU000049,Samsung Rice & Grains Product 49,Samsung,Grocery,Rice & Grains,Rice & Grains Type D,SUP144,414359.96,519849.46,False,False,590
